Country ,Broad money (% of GDP) 2012,Broad money (% of GDP) 2013,Broad money (% of GDP) 2014,Broad money (% of GDP) 2015,Broad money (% of GDP) 2016,Broad money (% of GDP) 2017,Broad money (% of GDP) 2018,Broad money (% of GDP) 2019,Broad money (% of GDP) 2020,Broad money (% of GDP) 2021,Broad money (% of GDP) 2022,Broad money (% of GDP) 2023
Aruba,73.0407417,67.41962841,69.58694425,71.74178163,78.01214334,76.59542642,74.63546809,75.17339861,107.9881556,102.3226044,94.44252884,85.55422252
Africa Eastern and Southern,47.75951164,45.47488294,45.53977367,47.34857809,46.74199544,45.36495555,46.3985856,49.02573556,53.2266373,51.60480361,48.92804658,50.0665701
Afghanistan,32.91369227,32.6820169,34.20959679,33.92805265,37.22281866,36.8612613,36.60749389,34.95921431,37.50818874,,,
Africa Western and Central,24.31429766,24.48895774,23.16555295,23.50386449,26.85279616,25.30448584,25.89794542,25.5665232,28.29348698,29.25842607,29.4903838,
Angola,31.5177312,33.33154741,35.6755532,40.94465992,39.16230806,32.18652109,30.64644052,33.69273393,40.06994844,25.862961,21.76057945,25.23496312
Albania,84.28877013,85.10628842,85.65080753,84.79216792,85.80495885,81.70339459,76.11478958,77.02287793,87.98331183,84.76628623,77.1857456,71.658119
Andorra,,,,,,,,,,,,
Arab World,59.97739992,64.63504091,69.1806222,79.90369087,85.07925205,82.13171125,,,,,,
United Arab Emirates,60.15345971,70.95538102,74.00227183,87.27643791,90.36677745,88.98082959,83.42787924,92.05889821,115.2065858,102.5106431,92.27323062,107.1362134
Argentina,27.17564527,27.19624241,25.82170185,27.69088504,28.3723031,28.49528017,30.41075648,26.18303895,34.50526317,30.73095443,32.25307067,36.00961261
Armenia,31.55695244,33.9221955,34.67229613,36.79245529,43.02292575,46.41542424,46.1206403,47.15440168,54.38516654,54.38682631,51.93199922,54.82816029
American Samoa,,,,,,,,,,,,
Antigua and Barbuda,87.6876605,88.97857372,86.72228808,88.00566212,83.87984595,87.52282837,86.46903778,82.89679443,92.53988586,92.83112908,83.25028184,79.03426084
Australia,101.1944651,105.4550591,108.4916311,113.2258615,118.3152042,116.6478081,113.9459517,122.9401175,137.321972,139.2054501,134.3693505,126.7532589
Austria,,,,,,,,,,,,
